CustomerID,No,cnt
12346,1993,2
12347,59,5
12347,61,1
12347,62,1
12347,100,3
12347,104,3
12347,127,6
12347,128,3
12347,129,3
12347,130,4
12347,131,2
12347,133,4
12347,134,3
12347,136,2
12347,137,3
12347,138,5
12347,277,1
12347,304,1
12347,315,1
12347,335,2
12347,348,1
12347,357,1
12347,393,1
12347,414,1
12347,443,1
12347,504,2
12347,517,2
12347,582,1
12347,721,1
12347,744,1
12347,755,1
12347,783,1
12347,800,1
12347,816,1
12347,1117,1
12347,1175,1
12347,1288,1
12347,1294,1
12347,1383,1
12347,1478,1
12347,1507,1
12347,1641,1
12347,1682,1
12347,1838,3
12347,1960,1
12347,2046,1
12347,2047,1
12347,2048,3
12347,2051,2
12347,2054,2
12347,2132,1
12347,2267,2
12347,2268,2
12347,2270,2
12347,2300,1
12347,2301,1
12347,2302,1
12347,2419,1
12347,2455,1
12347,2479,2
12347,2507,2
12347,2528,1
12347,2578,1
12347,2635,1
12347,2658,3
12347,2683,1
12347,2693,2
12347,2719,1
12347,2732,1
12347,2733,2
12347,2738,1
12347,2762,5
12347,2770,4
12347,2771,2
12347,2773,1
12347,2775,1
12347,2776,1
12347,2777,1
12347,2779,2
12347,2780,2
12347,2817,2
12347,2867,2
12347,2912,1
12347,2961,1
12347,2994,3
12347,3089,2
12347,3106,1
12347,3110,1
12347,3214,1
12347,3248,1
12347,3256,4
12347,3422,1
12347,3423,1
12347,3424,3
12347,3453,1
12347,3462,1
12347,3487,2
12347,3493,3
12347,3544,1
12347,3588,3
12347,3675,1
12347,3773,1
12347,3781,4
12347,3782,1
12348,97,1
12348,98,2
12348,100,2
12348,104,1
12348,1037,2
12348,1681,2
12348,1682,1
12348,2116,1
12348,2230,1
12348,2236,1
12348,2237,1
12348,2242,1
12348,2243,1
12348,2246,1
12348,2251,1
12348,2269,2
12348,2272,2
12348,2613,4
12348,3091,1
12348,3093,1
12348,3094,1
12348,3397,1
12349,21,1
12349,27,1
12349,380,1
12349,536,1
12349,638,1
12349,647,1
12349,749,1
12349,783,1
12349,1008,1
12349,1009,1
12349,1011,1
12349,1020,1
12349,1026,1
12349,1030,1
12349,1114,1
12349,1138,1
12349,1149,1
12349,1288,1
12349,1315,1
12349,1390,1
12349,1401,1
12349,1527,1
12349,1547,1
12349,1565,1
12349,1613,1
12349,1728,1
12349,1838,1
12349,2284,1
12349,2299,1
12349,2304,1
12349,2341,1
12349,2412,1
12349,2454,1
12349,2570,1
12349,2571,1
12349,2573,1
12349,2574,1
12349,2575,1
12349,2613,1
12349,2660,1
12349,2667,1
12349,2704,1
12349,2742,1
12349,2744,1
12349,2749,1
12349,2770,1
12349,2810,1
12349,2812,1
12349,2880,1
12349,2970,1
12349,2972,1
12349,2975,1
12349,3003,1
12349,3015,1
12349,3039,1
12349,3075,1
12349,3077,1
12349,3085,1
12349,3134,1
12349,3135,1
12349,3152,1
12349,3274,1
12349,3287,1
12349,3353,1
12349,3359,1
12349,3389,1
12349,3393,1
12349,3429,1
12349,3576,1
12349,3578,1
12349,3834,1
12349,3836,1
12349,3865,1
12350,76,1
12350,277,1
12350,464,1
12350,465,1
12350,721,1
12350,723,1
12350,2013,1
12350,2559,1
12350,2572,1
12350,2574,1
12350,2613,1
12350,2682,1
12350,2792,1
12350,2798,1
12350,3414,1
12350,3527,1
12350,3528,1
12352,175,1
12352,262,1
12352,263,1
12352,275,2
12352,306,1
12352,432,3
12352,485,1
12352,630,1
12352,638,3
12352,642,3
12352,646,1
12352,703,2
12352,704,1
12352,942,2
12352,990,1
12352,1030,1
12352,1156,1
12352,1416,1
12352,1641,1
12352,1643,1
12352,1699,2
12352,1819,3
12352,1905,3
12352,1923,2
12352,1984,6
12352,2014,3
12352,2061,1
12352,2193,1
12352,2304,1
12352,2305,1
12352,2306,1
12352,2307,1
12352,2308,1
12352,2388,1
12352,2424,1
12352,2452,3
12352,2454,1
12352,2488,4
12352,2613,5
12352,2762,1
12352,2770,2
12352,2932,1
12352,2934,1
12352,3003,2
12352,3014,2
12352,3032,1
12352,3051,1
12352,3077,1
12352,3099,1
12352,3250,1
12352,3327,1
12352,3358,1
12352,3540,1
12352,3575,1
12352,3678,1
12352,3767,1
12352,3769,3
12352,3780,1
12352,3866,1
12353,637,1
12353,640,1
12353,2033,1
12353,2161,1
12354,43,1
12354,211,1
12354,262,1
12354,458,1
12354,460,1
12354,466,1
12354,523,1
12354,529,1
12354,574,1
12354,601,1
12354,666,1
12354,667,1
12354,670,1
12354,685,1
12354,690,1
12354,691,1
12354,694,1
12354,696,1
12354,703,1
12354,773,1
12354,775,1
12354,985,1
12354,990,1
12354,1033,1
12354,1227,1
12354,1751,1
12354,1942,1
12354,1943,1
12354,2134,1
12354,2311,1
12354,2363,1
12354,2364,1
12354,2399,1
12354,2415,1
12354,2416,1
12354,2424,1
12354,2520,1
12354,2674,1
12354,2677,1
12354,2722,1
12354,2723,1
12354,2725,1
12354,2728,1
12354,2730,1
12354,2736,1
12354,2739,1
12354,2762,1
12354,2805,1
12354,2809,1
12354,2810,1
12354,2880,1
12354,2909,1
12354,3091,1
12354,3107,1
12354,3319,1
12354,3467,1
12354,3531,1
12354,3767,1
12355,1037,1
12355,1507,1
12355,1526,1
12355,1682,1
12355,2161,1
12355,2186,1
12355,2528,1
12355,2770,1
12355,2865,1
12355,2867,1
12355,2906,1
12355,3362,1
12355,3536,1
12356,97,1
12356,100,2
12356,104,1
12356,219,1
12356,252,1
12356,262,1
12356,635,1
12356,637,1
12356,638,1
12356,639,1
12356,646,1
12356,647,1
12356,887,1
12356,1160,1
12356,1288,1
12356,1827,1
12356,1838,1
12356,1870,1
12356,1928,1
12356,2031,1
12356,2228,1
12356,2245,1
12356,2271,1
12356,2272,1
12356,2411,1
12356,2428,1
12356,2528,1
12356,2613,1
12356,2708,1
12356,2725,3
12356,2748,1
12356,2770,3
12356,2867,1
12356,2907,1
12356,2945,1
12356,2947,1
12356,2962,1
12356,2997,1
12356,3002,1
12356,3009,2
12356,3027,1
12356,3095,1
12356,3100,1
12356,3102,1
12356,3107,1
12356,3115,1
12356,3152,1
12356,3153,1
12356,3362,1
12356,3389,1
12356,3427,1
12356,3429,1
12356,3707,1
12357,28,1
12357,29,1
12357,37,1
12357,88,1
12357,134,1
12357,137,1
12357,138,1
12357,270,1
12357,321,1
12357,323,1
12357,339,1
12357,340,1
12357,368,1
12357,369,1
12357,375,1
12357,380,1
12357,471,1
12357,473,1
12357,507,1
12357,518,1
12357,527,1
12357,530,1
12357,543,1
12357,544,1
12357,578,1
12357,579,1
12357,580,1
12357,601,1
12357,602,1
12357,603,1
12357,605,1
12357,606,1
12357,607,1
12357,608,1
12357,614,1
12357,615,1
12357,616,1
12357,638,1
12357,640,1
12357,647,1
12357,649,1
12357,717,1
12357,782,1
12357,804,1
12357,918,1
12357,1033,1
12357,1081,1
12357,1083,1
12357,1084,1
12357,1100,1
12357,1118,1
12357,1142,1
12357,1156,1
12357,1169,1
12357,1387,1
12357,1388,1
12357,1389,1
12357,1390,1
12357,1469,1
12357,1549,1
12357,1657,1
12357,1662,1
12357,1666,1
12357,1667,1
12357,1691,1
12357,1707,1
12357,1723,1
12357,1792,1
12357,1795,1
12357,1800,1
12357,1803,1
12357,1826,1
12357,1919,1
12357,1928,1
12357,1929,1
12357,2031,1
12357,2033,1
12357,2161,1
12357,2191,1
12357,2215,1
12357,2217,1
12357,2304,1
12357,2382,1
12357,2422,1
12357,2450,1
12357,2454,1
12357,2520,1
12357,2527,1
12357,2560,1
12357,2562,1
12357,2662,1
12357,2691,1
12357,2719,1
12357,2723,1
12357,2725,1
12357,2730,1
12357,2731,1
12357,2732,1
12357,2741,1
12357,2746,1
12357,2749,1
12357,2758,1
12357,2766,1
12357,2770,1
12357,2801,1
12357,2808,1
12357,2812,1
12357,2835,1
12357,2902,1
12357,2906,1
12357,2946,1
12357,2988,1
12357,3009,1
12357,3056,1
12357,3195,1
12357,3219,1
12357,3274,1
12357,3287,1
12357,3314,1
12357,3330,1
12357,3359,1
12357,3389,1
12357,3414,1
12357,3419,1
12357,3424,1
12357,3576,1
12357,3578,1
12357,3594,1
12357,3600,1
12357,3730,1
12357,3762,1
12358,636,1
12358,639,1
12358,640,1
12358,646,1
12358,647,2
12358,1009,1
12358,1081,2
12358,1082,2
12358,1083,2
12358,1084,2
12358,1157,1
12358,2613,2
12358,3358,1
12359,27,1
12359,43,2
12359,44,1
12359,111,1
12359,133,1
12359,134,1
12359,137,1
12359,138,1
12359,275,1
12359,359,2
12359,406,1
12359,411,1
12359,425,1
12359,523,1
12359,527,2
12359,528,1
12359,530,2
12359,535,1
12359,547,1
12359,630,1
12359,683,2
12359,702,1
12359,826,1
12359,904,1
12359,969,1
12359,972,1
12359,986,1
12359,991,1
12359,1009,1
12359,1010,1
12359,1012,1
12359,1014,2
12359,1021,1
12359,1027,1
12359,1030,1
12359,1070,1
12359,1071,1
12359,1117,1
12359,1122,1
12359,1123,1
12359,1200,1
12359,1223,1
12359,1292,1
12359,1316,1
12359,1326,1
12359,1345,1
12359,1346,1
12359,1347,2
12359,1353,1
12359,1358,2
12359,1366,1
12359,1389,1
12359,1393,1
12359,1395,1
12359,1401,1
12359,1406,1
12359,1407,1
12359,1417,1
12359,1423,1
12359,1489,1
12359,1507,2
12359,1534,1
12359,1631,1
12359,1633,1
12359,1634,1
12359,1635,1
12359,1636,1
12359,1643,1
12359,1649,1
12359,1666,1
12359,1676,1
12359,1694,1
12359,1699,1
12359,1707,1
12359,1725,1
12359,1726,1
12359,1727,1
12359,1728,1
12359,1749,1
12359,1751,1
12359,1752,2
12359,1758,1
12359,1761,1
12359,1764,1
12359,1765,1
12359,1770,1
12359,1772,1
12359,1774,2
12359,1800,1
12359,1873,1
12359,1923,1
12359,1929,1
12359,1932,2
12359,1937,1
12359,1951,1
12359,1953,1
12359,1958,1
12359,1990,1
12359,2008,1
12359,2009,1
12359,2015,2
12359,2061,2
12359,2113,1
12359,2114,1
12359,2154,1
12359,2158,1
12359,2184,1
12359,2193,1
12359,2217,1
12359,2237,1
12359,2252,1
12359,2253,1
12359,2284,1
12359,2297,1
12359,2300,1
12359,2301,1
12359,2302,1
12359,2343,1
12359,2346,1
12359,2380,1
12359,2389,1
12359,2397,2
12359,2398,1
12359,2407,1
12359,2528,1
12359,2570,1
12359,2573,1
12359,2577,1
12359,2578,1
12359,2606,1
12359,2666,1
12359,2667,3
12359,2672,1
12359,2673,1
12359,2674,1
12359,2675,1
12359,2676,1
12359,2677,1
12359,2691,1
12359,2706,1
12359,2725,1
12359,2770,5
12359,2771,2
12359,2773,2
12359,2775,2
12359,2776,2
12359,2777,2
12359,2779,1
12359,2780,2
12359,2801,1
12359,2867,3
12359,2873,1
12359,2874,1
12359,2887,2
12359,2940,1
12359,2943,1
12359,2951,1
12359,2953,1
12359,2955,1
12359,3003,3
12359,3004,1
12359,3014,3
12359,3039,1
12359,3040,1
12359,3042,1
12359,3043,2
12359,3051,1
12359,3077,1
12359,3134,1
12359,3170,1
12359,3218,1
12359,3313,1
12359,3323,1
12359,3327,1
12359,3374,1
12359,3387,1
12359,3392,1
12359,3394,1
12359,3395,1
12359,3396,1
12359,3450,1
12359,3484,2
12359,3487,1
12359,3520,1
12359,3521,1
12359,3547,1
12359,3561,2
12359,3572,1
12359,3574,1
12359,3575,1
12359,3576,2
12359,3578,1
