CustomerID,No,cnt
12346,248,2
12347,18,3
12347,19,3
12347,21,3
12347,23,3
12347,24,5
12347,42,1
12347,87,1
12347,93,1
12347,97,1
12347,146,1
12347,183,1
12347,253,3
12347,255,2
12347,277,2
12347,278,2
12347,280,2
12347,307,1
12347,312,1
12347,321,1
12347,329,1
12347,330,3
12347,343,1
12347,350,5
12347,352,4
12347,353,2
12347,354,1
12347,355,1
12347,356,1
12347,357,1
12347,358,2
12347,363,2
12347,368,2
12347,381,1
12347,402,2
12347,423,1
12347,450,1
12347,463,3
12347,476,1
12347,479,4
12348,16,1
12348,17,2
12348,18,2
12348,19,1
12348,112,2
12348,182,2
12348,183,1
12348,263,1
12348,264,1
12348,267,1
12348,268,1
12348,270,1
12348,273,1
12348,279,2
12348,282,2
12348,326,4
12348,403,1
12348,405,1
12349,105,1
12349,107,1
12349,110,1
12349,155,1
12349,159,1
12349,188,1
12349,283,1
12349,284,1
12349,315,1
12349,316,1
12349,318,1
12349,319,1
12349,320,1
12349,326,1
12349,331,1
12349,332,1
12349,352,1
12349,361,1
12349,370,1
12349,382,1
12349,383,1
12349,387,1
12349,392,1
12349,397,1
12349,398,1
12349,399,1
12349,413,1
12349,414,1
12349,441,1
12349,462,1
12349,492,1
12349,497,1
12350,11,1
12350,42,1
12350,82,1
12350,317,1
12350,319,1
12350,326,1
12350,337,1
12350,443,1
12352,40,1
12352,46,3
12352,52,1
12352,71,1
12352,104,1
12352,173,1
12352,247,6
12352,250,3
12352,284,1
12352,285,1
12352,309,4
12352,326,5
12352,350,1
12352,352,2
12352,374,1
12352,387,2
12352,391,2
12352,395,1
12352,398,1
12352,407,1
12352,424,1
12352,435,1
12352,437,1
12352,459,1
12354,40,1
12354,48,1
12354,49,1
12354,62,1
12354,72,1
12354,73,1
12354,76,1
12354,78,1
12354,91,1
12354,104,1
12354,195,1
12354,234,1
12354,235,1
12354,286,1
12354,304,1
12354,310,1
12354,340,1
12354,342,1
12354,345,1
12354,350,1
12354,359,1
12354,370,1
12354,403,1
12354,411,1
12354,434,1
12354,453,1
12355,112,1
12355,146,1
12355,149,1
12355,183,1
